,education,Medianamente importante,Muy importante,Nada importante,No sé,Poco importante
0,Doctorado,14.0,12.0,1.0,2.0,7.0
1,Especialización,2.0,4.0,0.0,3.0,0.0
2,Especialización;Maestría,0.0,1.0,0.0,0.0,0.0
3,Estudiante de Doctorado,0.0,1.0,0.0,0.0,0.0
4,Estudiante de licenciatura,2.0,5.0,0.0,2.0,1.0
5,Licenciado,3.0,4.0,3.0,2.0,8.0
6,Licenciado;Doctorado en curso,1.0,0.0,0.0,0.0,0.0
7,Licenciado;En proceso de tesis de maestría,0.0,1.0,0.0,0.0,0.0
8,Licenciado;Especialización;Maestría,1.0,2.0,0.0,0.0,0.0
9,Licenciado;estudiante de doctorado,0.0,0.0,0.0,1.0,0.0
10,Maestría,4.0,2.0,1.0,2.0,2.0
11,Postdoctorado,0.0,0.0,1.0,0.0,0.0
