,education,Medianamente importante,Muy importante,Nada importante,No sé,Poco importante
0,Doctorado,9.0,21.0,1.0,1.0,4.0
1,Especialización,0.0,5.0,0.0,3.0,1.0
2,Especialización;Maestría,0.0,1.0,0.0,0.0,0.0
3,Estudiante de Doctorado,0.0,0.0,0.0,1.0,0.0
4,Estudiante de licenciatura,3.0,7.0,0.0,0.0,0.0
5,Licenciado,5.0,7.0,3.0,2.0,3.0
6,Licenciado;Doctorado en curso,0.0,1.0,0.0,0.0,0.0
7,Licenciado;En proceso de tesis de maestría,0.0,0.0,0.0,0.0,1.0
8,Licenciado;Especialización;Maestría,1.0,1.0,0.0,0.0,1.0
9,Licenciado;estudiante de doctorado,0.0,1.0,0.0,0.0,0.0
10,Maestría,3.0,7.0,0.0,0.0,1.0
11,Postdoctorado,0.0,1.0,0.0,0.0,0.0
