,education,Algo de acuerdo,Bastante de acuerdo,Muy de acuerdo,Nada de acuerdo,No sé
0,Doctorado,14.0,4.0,1.0,9.0,7.0
1,Especialización,2.0,1.0,0.0,4.0,2.0
2,Especialización;Maestría,1.0,0.0,0.0,0.0,0.0
3,Estudiante de Doctorado,0.0,0.0,0.0,0.0,1.0
4,Estudiante de licenciatura,2.0,1.0,0.0,6.0,1.0
5,Licenciado,6.0,3.0,2.0,8.0,1.0
6,Licenciado;Doctorado en curso,1.0,0.0,0.0,0.0,0.0
7,Licenciado;En proceso de tesis de maestría,1.0,0.0,0.0,0.0,0.0
8,Licenciado;Especialización;Maestría,1.0,1.0,0.0,0.0,1.0
9,Licenciado;estudiante de doctorado,0.0,0.0,0.0,1.0,0.0
10,Maestría,7.0,1.0,1.0,2.0,0.0
11,Postdoctorado,1.0,0.0,0.0,0.0,0.0
