"Timestamp","¿Acepta participar?","Edad (años)","Nivel educativo alcanzado","Área/s de investigación","¿Ha participado en un proyecto de investigación (v. g., UBACyT, CONICET) en los últimos 5 años?","¿Ha publicado en una revista indexada con referato (v. g., Scopus, Scimago, Scielo) en los últimos 5 años?","Marque su posición actual en la Facultad de Psicología de la UBA","¿Qué tipo de metodología suele predominar en sus estudios?","¿Cree que hay una crisis en la ciencia?","Si su respuesta a la pregunta anterior ha sido “Sí”, señale por qué cree que hay una crisis en la ciencia","Valore cada una de las siguientes cuestiones relacionadas con su opinión sobre la ciencia [Gran parte de los investigadores solamente publica los estudios en donde obtienen diferencias estadísticamente significativas]","Valore cada una de las siguientes cuestiones relacionadas con su opinión sobre la ciencia [A las revistas científicas no les interesa publicar resultados que no son estadísticamente significativos]","Valore cada una de las siguientes cuestiones relacionadas con su opinión sobre la ciencia [Cuando leo un artículo tengo mayor confianza en la calidad del estudio si los resultados son estadísticamente significativos]","Valore cada una de las siguientes cuestiones relacionadas con su opinión sobre la ciencia [Que un resultado no fuera estadísticamente significativo sería un criterio para no seguir investigando esas variables]","Valore cada una de las siguientes cuestiones relacionadas con su opinión sobre la ciencia [Una conclusión científica (por ejemplo, si un tratamiento es mejor que otro) debe estar basado en si el p-valor es o no es estadísticamente significativo]","Valore cada una de las siguientes cuestiones relacionadas con su opinión sobre la ciencia [Un resultado estadísticamente significativo es un resultado importante]","Valore cada una de las siguientes cuestiones relacionadas con su opinión sobre la ciencia [El valor de p < .05 confirma que el hallazgo será útil para la comunidad científica]","Valore cada una de las siguientes cuestiones relacionadas con su opinión sobre la ciencia [El valor de p = .001 confirma que el tamaño del efecto ha sido grande]","Valore cada una de las siguientes cuestiones relacionadas con su opinión sobre la ciencia [Cuando los resultados de diferentes investigadores son contradictorios entonces sería necesario llevar a cabo un estudio de replicación sobre la misma temática]","Valore cada una de las siguientes cuestiones relacionadas con su opinión sobre la ciencia [La realización de estudios de replicación es necesaria para el avance de la ciencia]","Valore cada una de las siguientes cuestiones relacionadas con su opinión sobre la ciencia [Si los resultados sobre una determinada temática son unánimes por parte de diferentes equipos de investigación entonces los estudios de replicación no son necesarios]","Valore cada una de las siguientes cuestiones relacionadas con su opinión sobre la ciencia [Los estudios de replicación solamente tienen sentido cuando no se detectan diferencias estadísticamente significativas en el estudio original]","Valore cada una de las siguientes cuestiones relacionadas con su opinión sobre la ciencia [No es necesario replicar un estudio cuando ya se detectaron efectos estadísticamente significativos en el estudio original]","Valore cada una de las siguientes cuestiones relacionadas con su opinión sobre la ciencia [El principal objetivo de las revistas científicas es publicar hallazgos novedosos]","Valore cada una de las siguientes cuestiones relacionadas con su opinión sobre la ciencia [La ciencia avanza más con estudios que plantean hipótesis novedosas que con estudios de replicación de otras investigaciones]","Valore cada una de las siguientes cuestiones relacionadas con su opinión sobre la ciencia [Creo que, en general, los errores que se pueden haber cometido en un estudio científico siempre se detectan y corrigen antes de ser publicados]","Valore cada una de las siguientes cuestiones relacionadas con su opinión sobre la ciencia [Las tareas de revisión y corrección de los manuscritos que llevan a cabo los revisores de las revistas garantizan de forma fiable la calidad de los resultados científicos]"," [Replicar un estudio previo]"," [Pre-registrar un estudio antes de iniciar la recolección de datos]"," [Poner datos recolectados a disposición mediante plataformas o repositorios públicos.]"," [Compartir los métodos analíticos (e.g., scripts de análisis) en plataformas o repositorios públicos]"," [Poner los materiales (e.g., cuestionarios, procedimientos) a disposición mediante plataformas o repositorios públicos]"," [Reportar toda la información necesaria detalladamente para que otras personas puedan replicar mi estudio]"," [Compartir una pre-impresión (pre-print) publicándola en un repositorio público o semi-público]"," [Usar revisión por pares abierta]"," [Publicar en revistas de acceso abierto]"," [Adaptar un test psicométrico]"," [Participar en proyectos abiertos y colaborativos a gran escala]"," [Replicar un estudio previo]"," [Pre-registrar un estudio antes de iniciar la recolección de datos]"," [Poner datos recolectados a disposición mediante plataformas o repositorios públicos]"," [Compartir los métodos analíticos (e.g., scripts de análisis) en plataformas o repositorios públicos]"," [Poner los materiales (e.g., cuestionarios, procedimientos) a disposición mediante plataformas o repositorios públicos]"," [Reportar toda la información necesaria detalladamente para que otras personas puedan replicar mi estudio]"," [Compartir una pre-impresión (pre-print) publicándola en un repositorio de confianza]"," [Usar revisión por partes abierta]"," [Publicar en revistas de acceso abierto]"," [Adaptar un test psicométrico]"," [Participar en proyectos abiertos y colaborativos a gran escala]","¿Cuáles le parecen que son las mayores barreras para la aceptación y puesta en práctica de prácticas de ciencia abierta en su campo y/o lugar de trabajo?","Si aplica, por favor describa brevemente qué barreras ha experimentado para incorporar o mantener prácticas de ciencia abierta","Por último, si posee alguna idea o comentario respecto a esta encuesta o al tema que aborda, por favor escribalo brevemente a continuación "
"2021/04/16 11:57:53 AM GMT-3","Sí","37","Licenciado","Psicoanálisis Filosofía","Sí","Sí","ATP","Cualitativa","No","","Algo de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Nada de acuerdo","Nada de acuerdo","Algo de acuerdo","Algo de acuerdo","Algo de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Nada de acuerdo","No sé","Nada de acuerdo","Nada de acuerdo","Nada de acuerdo","Nada de acuerdo","No sé","Nunca lo hice, pero escuché hablar de eso","Nunca lo hice, pero escuché hablar de eso","Nunca lo hice, ni escuché hablar de eso","Nunca lo hice, pero escuché hablar de eso","Nunca lo hice, pero escuché hablar de eso","Nunca lo hice, pero escuché hablar de eso","Nunca lo hice, pero escuché hablar de eso","Nunca lo hice, pero escuché hablar de eso","Sí, lo he hecho","Nunca lo hice, pero escuché hablar de eso","Nunca lo hice, pero escuché hablar de eso","No sé","No sé","No sé","No sé","No sé","No sé","No sé","Poco importante","Medianamente importante","No sé","No sé","9. No percibo ninguna barrera","",""
"2021/04/16 12:13:54 PM GMT-3","Sí","48","Doctorado","Alcohol","Sí","Sí","Adjunto;Titular","MIxta","No","","Muy de acuerdo","Muy de acuerdo","Nada de acuerdo","Nada de acuerdo","Algo de acuerdo","Bastante de acuerdo","Nada de acuerdo","Nada de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Nada de acuerdo","Nada de acuerdo","Nada de acuerdo","Bastante de acuerdo","Nada de acuerdo","Nada de acuerdo","Algo de acuerdo","Sí, lo he hecho","Nunca lo hice, pero escuché hablar de eso","Nunca lo hice, pero escuché hablar de eso","Nunca lo hice, pero escuché hablar de eso","Nunca lo hice, pero escuché hablar de eso","Sí, lo he hecho","Sí, lo he hecho","Sí, lo he hecho","Sí, lo he hecho","Sí, lo he hecho","Sí, lo he hecho","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","1. Falta de incentivos;2. Falta de requerimiento por parte de financiadores, instituciones u otros organismos reguladores;3. Falta de información y entrenamiento;5. Falta de tiempo;10. El nivel de adopción de prácticas de ciencia abierta son suficientes en mi entorno (área, lugar de trabajo);18. Me parece desilusionante que si me tomo mucho trabajo no me valga para nada","",""
"2021/04/16 2:43:17 PM GMT-3","Sí","37","Doctorado","Neurociencia cognitiva","Sí","Sí","Titular","MIxta","No","","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Nada de acuerdo","Algo de acuerdo","Nada de acuerdo","Bastante de acuerdo","Muy de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Sí, lo he hecho","Nunca lo hice, ni escuché hablar de eso","Sí, lo he hecho","Sí, lo he hecho","Sí, lo he hecho","Sí, lo he hecho","Sí, lo he hecho","Sí, lo he hecho","Sí, lo he hecho","Nunca lo hice, pero escuché hablar de eso","Sí, lo he hecho","Muy importante","No sé","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","1. Falta de incentivos;6. Falta de financiamiento específico","Economia! Muchas veces hay qeu pagar para que los demas tengan acceso",""
"2021/04/16 3:33:59 PM GMT-3","Sí","31","Doctorado","Psicoterapia ","Sí","Sí","Titular;Ademas cargo Investigacion/docente","Cuantitativa","Sí","Financiamiento ","Bastante de acuerdo","Bastante de acuerdo","Algo de acuerdo","Nada de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Algo de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Bastante de acuerdo","Algo de acuerdo","Nada de acuerdo","Muy de acuerdo","Algo de acuerdo","Bastante de acuerdo","Muy de acuerdo","Nunca lo hice, pero sé cómo hacerlo","Nunca lo hice, pero escuché hablar de eso","Nunca lo hice, pero sé cómo hacerlo","Nunca lo hice, pero sé cómo hacerlo","Lo intenté, pero no lo completé","Sí, lo he hecho","Nunca lo hice, pero escuché hablar de eso","Sí, lo estoy haciendo","Sí, lo he hecho","Nunca lo hice, pero sé cómo hacerlo","Sí, lo he hecho","Medianamente importante","Poco importante","Muy importante","Muy importante","Muy importante","Muy importante","Poco importante","Muy importante","Medianamente importante","Muy importante","Medianamente importante","1. Falta de incentivos;3. Falta de información y entrenamiento;6. Falta de financiamiento específico;7. Falta de apoyo por investigadores avanzados (v. g., supervisores, directores del centro de investigación)","",""
"2021/04/16 3:35:35 PM GMT-3","Sí","38","Doctorado","Psicología del desarrollo","Sí","Sí","ATP","Cuantitativa","No","","Algo de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Nada de acuerdo","Nada de acuerdo","Nada de acuerdo","Nada de acuerdo","Nada de acuerdo","Bastante de acuerdo","Muy de acuerdo","Nada de acuerdo","Nada de acuerdo","Nada de acuerdo","Bastante de acuerdo","Bastante de acuerdo","Algo de acuerdo","Nada de acuerdo","Sí, lo he hecho","Nunca lo hice, pero sé cómo hacerlo","Sí, lo he hecho","Nunca lo hice, pero escuché hablar de eso","Sí, lo he hecho","Sí, lo he hecho","Sí, lo he hecho","Sí, lo he hecho","Sí, lo he hecho","Nunca lo hice, pero sé cómo hacerlo","Sí, lo he hecho","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","2. Falta de requerimiento por parte de financiadores, instituciones u otros organismos reguladores;3. Falta de información y entrenamiento;9. No percibo ninguna barrera","",""
"2021/04/16 3:38:06 PM GMT-3","Sí","29","Doctorado","Infancia temprana","Sí","Sí","ATP","Cuantitativa","Sí","Porque se obliga a publicar en detrimento de la calidad o la relevancia","Algo de acuerdo","Bastante de acuerdo","Nada de acuerdo","Nada de acuerdo","Nada de acuerdo","Algo de acuerdo","Nada de acuerdo","Nada de acuerdo","Bastante de acuerdo","Muy de acuerdo","Algo de acuerdo","Nada de acuerdo","Nada de acuerdo","Bastante de acuerdo","Nada de acuerdo","Nada de acuerdo","Bastante de acuerdo","Sí, lo he hecho","Nunca lo hice, pero sé cómo hacerlo","Sí, lo he hecho","Nunca lo hice, pero sé cómo hacerlo","Nunca lo hice, pero sé cómo hacerlo","Sí, lo he hecho","Sí, lo he hecho","Sí, lo he hecho","Sí, lo he hecho","Sí, lo he hecho","Lo intenté, pero no lo completé","Muy importante","Muy importante","Muy importante","Muy importante","Poco importante","Poco importante","Poco importante","Muy importante","Muy importante","Muy importante","Muy importante","3. Falta de información y entrenamiento;5. Falta de tiempo;7. Falta de apoyo por investigadores avanzados (v. g., supervisores, directores del centro de investigación);18. Me parece desilusionante que si me tomo mucho trabajo no me valga para nada","",""
"2021/04/16 5:48:15 PM GMT-3","Sí","36","Doctorado","Neurociencias","Sí","Sí","ATP","MIxta","Sí","Por que existe un sistema de evaluación de CyT que no se ajusta a nuestro contexto y a los problemas cognitivos regionales, por lo que los actores del sistema científico terminan haciendo ciencia con miras al exterior. ","Muy de acuerdo","Bastante de acuerdo","Nada de acuerdo","Algo de acuerdo","Algo de acuerdo","Algo de acuerdo","Algo de acuerdo","Nada de acuerdo","Nada de acuerdo","Bastante de acuerdo","No sé","No sé","Nada de acuerdo","Nada de acuerdo","Nada de acuerdo","Nada de acuerdo","No sé","Sí, lo he hecho","Nunca lo hice, pero escuché hablar de eso","Sí, lo estoy haciendo","Nunca lo hice, pero escuché hablar de eso","Sí, lo estoy haciendo","Sí, lo estoy haciendo","Nunca lo hice, pero escuché hablar de eso","Nunca lo hice, pero escuché hablar de eso","Sí, lo estoy haciendo","Nunca lo hice, pero escuché hablar de eso","Sí, lo estoy haciendo","Medianamente importante","Medianamente importante","Muy importante","Muy importante","Muy importante","Muy importante","Medianamente importante","Medianamente importante","Muy importante","Muy importante","Muy importante","3. Falta de información y entrenamiento;4. Falta de infraestructura (v. g., insuficiente espacio de almacenamiento abierto);6. Falta de financiamiento específico;7. Falta de apoyo por investigadores avanzados (v. g., supervisores, directores del centro de investigación);8. Falta de interés por jóvenes investigadores (v. g., practicantes, tesistas de grado, doctorandos)","La mayor dificultad fue con las plataformas para depositar el material. La universidad donde trabajo por ejemplo no tiene repositorio institucional, así que tuvimos que crear nuestra propia pagina (lo cual es un gasto extra). ","El repositorio de CONICET se actualiza MUY lento! Y nuclea producción citable. Seria interesante que conicet tenga un espacio/repositorio para ciencia y datos abiertos. "
"2021/04/16 10:26:05 PM GMT-3","Sí","54","Estudiante de Doctorado","Cognición musical","Sí","No","JTP","Cualitativa","Sí","Entiendo que los desarrollos tecnológicos colisionan con la falta de reflexión filosófica sobre sus alcances, generando situaciones que podrían entenderse como críticas. El ejemplo más claro de ello está vinculado a la utilización de redes sociales","Bastante de acuerdo","Algo de acuerdo","Nada de acuerdo","Nada de acuerdo","Algo de acuerdo","Algo de acuerdo","No sé","No sé","Algo de acuerdo","Algo de acuerdo","Algo de acuerdo","Algo de acuerdo","Algo de acuerdo","Nada de acuerdo","Algo de acuerdo","Nada de acuerdo","Algo de acuerdo","Nunca lo hice, pero sé cómo hacerlo","Nunca lo hice, pero escuché hablar de eso","Nunca lo hice, pero sé cómo hacerlo","Nunca lo hice, pero sé cómo hacerlo","Nunca lo hice, pero sé cómo hacerlo","Nunca lo hice, pero sé cómo hacerlo","Nunca lo hice, pero sé cómo hacerlo","Nunca lo hice, pero escuché hablar de eso","Sí, lo estoy haciendo","Nunca lo hice, ni escuché hablar de eso","Nunca lo hice, pero sé cómo hacerlo","Muy importante","No sé","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","No sé","Muy importante","2. Falta de requerimiento por parte de financiadores, instituciones u otros organismos reguladores;4. Falta de infraestructura (v. g., insuficiente espacio de almacenamiento abierto)","",""
"2021/04/18 9:57:15 PM GMT-3","Sí","22","Estudiante de licenciatura","psicología experimental y neurociencias","Sí","No","Alumno;Ayudante-alumno (rentado o no)","Cuantitativa","No","","Muy de acuerdo","Bastante de acuerdo","Algo de acuerdo","Nada de acuerdo","Algo de acuerdo","Bastante de acuerdo","Nada de acuerdo","Bastante de acuerdo","Muy de acuerdo","Muy de acuerdo","Algo de acuerdo","Nada de acuerdo","Nada de acuerdo","Algo de acuerdo","Nada de acuerdo","Algo de acuerdo","Algo de acuerdo","Sí, lo estoy haciendo","Sí, lo estoy haciendo","Nunca lo hice, pero sé cómo hacerlo","Nunca lo hice, pero sé cómo hacerlo","Nunca lo hice, pero sé cómo hacerlo","Sí, lo estoy haciendo","Nunca lo hice, pero sé cómo hacerlo","Nunca lo hice, pero escuché hablar de eso","Nunca lo hice, pero sé cómo hacerlo","Nunca lo hice, pero escuché hablar de eso","Nunca lo hice, pero escuché hablar de eso","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Medianamente importante","Poco importante","Medianamente importante","Muy importante","Medianamente importante","1. Falta de incentivos;3. Falta de información y entrenamiento;5. Falta de tiempo;15. Las replicaciones no son valoradas","",""
"2021/04/18 10:13:05 PM GMT-3","Sí","28","Especialización","Salud publica. Clinica.","Sí","Sí","ATP","MIxta","No","","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Nada de acuerdo","Algo de acuerdo","Bastante de acuerdo","Nada de acuerdo","Nada de acuerdo","Nada de acuerdo","Muy de acuerdo","Algo de acuerdo","Nada de acuerdo","Nada de acuerdo","Muy de acuerdo","Nada de acuerdo","Nada de acuerdo","Nada de acuerdo","Nunca lo hice, pero sé cómo hacerlo","Nunca lo hice, pero escuché hablar de eso","Nunca lo hice, pero sé cómo hacerlo","Nunca lo hice, pero sé cómo hacerlo","Sí, lo estoy haciendo","Sí, lo estoy haciendo","Sí, lo estoy haciendo","Sí, lo estoy haciendo","Sí, lo estoy haciendo","Sí, lo estoy haciendo","Nunca lo hice, pero sé cómo hacerlo","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Muy importante","Nada importante","Muy importante","Muy importante","Muy importante","1. Falta de incentivos;2. Falta de requerimiento por parte de financiadores, instituciones u otros organismos reguladores;3. Falta de información y entrenamiento;4. Falta de infraestructura (v. g., insuficiente espacio de almacenamiento abierto);6. Falta de financiamiento específico;7. Falta de apoyo por investigadores avanzados (v. g., supervisores, directores del centro de investigación);8. Falta de interés por jóvenes investigadores (v. g., practicantes, tesistas de grado, doctorandos);12. No estoy familiarizado con las prácticas de ciencia abierta;15. Las replicaciones no son valoradas;16. No tengo el estatus científico suficiente para hacer revisiones abiertas","",""
